"protein_id"	"protein_mw"	"protein_concentration"
"Q5T8D3"	60092	37679.8695295702
"Q5T8P6"	113597	61539.0229945942
"Q5T9A4"	72573	92766.3811013859
"Q5TAQ9"	66852	28951.7303782982
"Q5TAX3"	185166	22318.471938343
"Q5TBB1"	35139	48328.0417617705
"Q5TC12"	36437	96067.480876098
"Q5TDH0"	44523	67503.2100320981
"Q5TFE4"	51845	54705.0230097307
"Q5U5X0"	11955	69251.7668869503
"Q5UCC4"	27347	84356.2004222654
"Q5VT52"	156020	22446.5273320523
"Q5VTR2"	113662	41326.8097107762
"Q5VV42"	65111	45815.9882375785
"Q5VW32"	46476	60882.1951544516
"Q5VW38"	66990	24316.9035079108
"Q5VWZ2"	26316	65856.511028109
"Q5VYK3"	204291	67807.5457489676
"Q5XKP0"	13087	39511.4456535288
"Q5ZPR3"	57235	50951.907726923
"Q63HN8"	591407	46420.2546592878
"Q66K74"	112211	46666.3557617538
"Q66PJ3"	44915	62813.0457122114
"Q68CQ4"	87055	27871.0066766663
"Q68D91"	31372	27493.8322306614
"Q68E01"	118070	14799.6522276517
"Q68EM7"	95437	49161.1601365391
"Q69YN2"	60619	78225.4989327255
"Q6DKJ4"	48392	51668.8811222866
"Q6DKK2"	42457	54599.1917748277
"Q6FI81"	33582	114994.318876066
"Q6FIF0"	22555	30332.0122863205
"Q6GMV2"	47341	20832.4689378087
"Q6GMV3"	15805	83209.6096254346
"Q6IAA8"	17745	46462.4068398938
"Q6IAN0"	35119	39202.6103908373
"Q6IBS0"	39548	67593.5572184568
"Q6IBW4"	68227	25644.1469448099
"Q6IN85"	95368	55500.6282823211
"Q6IQ22"	27248	42200.7817666739
"Q6IQ49"	49742	25178.9714377653
"Q6L8Q7"	67352	61426.8752306464
"Q6N069"	101462	25989.1100001693
"Q6NUK1"	53354	60439.9379388029
"Q6NUM9"	66820	27334.3357370105
"Q6NUQ4"	77151	28187.6504229459
"Q6NVY1"	43482	65926.3782125898
"Q6NW29"	21251	38476.6241243349
"Q6NXE6"	54142	52172.4452542029
"Q6NYC1"	46462	45972.6863965039
"Q6P1J9"	60577	60220.228500047
"Q6P1L8"	15948	27367.3496664124
"Q6P1M0"	72064	38011.828712429
"Q6P1N0"	104062	46283.4302740988
"Q6P1N9"	33602	36838.2046973413
"Q6P1X6"	23889	35654.8396257667
"Q6P2E9"	151661	69891.8195989274
"Q6P2Q9"	273600	63750.1084549638
"Q6P3W7"	103709	33498.8205770857
"Q6P4A7"	37998	29790.1219425457
"Q6P4E1"	48864	40080.4189837188
"Q6P587"	24843	59906.7986528084
"Q6P6C2"	44256	54050.5176232709
"Q6P996"	86707	58171.2766809415
"Q6P9B6"	50994	21512.81155606
"Q6PD62"	133502	68254.6994277836
"Q6PGP7"	175486	43001.892624806
"Q6PI48"	73563	122332.66505667
"Q6PI78"	25498	68397.3104430481
"Q6PJ69"	57353	37249.979151459
"Q6PJG6"	88119	40001.5009477208
"Q6PKG0"	123510	85594.1464662628
"Q6PL24"	35740	30308.7869023518
"Q6SZW1"	79388	33330.0707797805
"Q6UB35"	105790	77901.4262700204
"Q6UW63"	58043	67918.2221704135
"Q6UW68"	21198	73852.5119547751
"Q6UWP7"	48920	41741.3795347727
"Q6UX04"	53847	34817.6336756801
"Q6UXH1"	38192	35586.8320236343
"Q6WKZ4"	137167	33289.9219743756
"Q6Y7W6"	150070	43735.5787054337
"Q6YN16"	45395	73288.7950591497
"Q6YP21"	51400	56756.5645664304
"Q6ZRP7"	77529	46502.3457712886
"Q6ZSJ8"	11471	36764.2373594342
"Q6ZXV5"	104009	62207.7687530377
"Q709C8"	422390	16914.5422949763
"Q70UQ0"	39309	46964.5022706557
"Q712K3"	27166	37663.1415693007
"Q71RC2"	80596	32522.549083076
"Q7KZ85"	199073	56789.0562973358
"Q7KZF4"	101997	185653.959246965
"Q7L014"	117362	132821.430143375
"Q7L099"	52965	31108.0860619215
"Q7L0Y3"	47347	107599.028522261
"Q7L1Q6"	48043	147678.545473174
"Q7L2E3"	133938	36627.2015272454
"Q7L2H7"	42503	102855.448872392
"Q7L2J0"	74355	51920.2041267629
"Q7L4I2"	50560	43461.9637379902
"Q7L576"	145182	48237.8099564996
"Q7L592"	49238	39050.7752465792
"Q7L5D6"	36504	20302.7625286559
"Q7L5N1"	36163	94822.6699154431
"Q7L5N7"	60208	124194.319487986
"Q7L7X3"	116070	31202.5682397785
"Q7LBC6"	191581	42033.1250917037
"Q7RTS9"	75935	24831.7181457326
"Q7RTV0"	12405	33393.1827020514
"Q7Z2K6"	100231	47345.7723802005
"Q7Z2W4"	101431	129402.11030923
"Q7Z2Z2"	125430	34100.4874619952
"Q7Z3B4"	55435	53963.5194391592
"Q7Z3C6"	94447	35556.2729018005
"Q7Z3T8"	168903	21828.527004697
"Q7Z3U7"	190359	40759.3722847064
"Q7Z406"	227871	108003.666168292
"Q7Z417"	76121	31476.7828858738
"Q7Z422"	16997	48842.1718063137
"Q7Z434"	56528	50761.33636386
"Q7Z460"	169451	20618.9079487753
"Q7Z4H3"	23390	69962.2389705682
"Q7Z4H7"	108621	21732.74031126
"Q7Z4H8"	58572	47563.8207158904
"Q7Z4Q2"	74583	51059.619696033
"Q7Z4S6"	187179	21797.3589853323
"Q7Z4V5"	74317	75457.3699856837
"Q7Z4W1"	25913	83952.1889275373
"Q7Z5G4"	15824	27936.7363958372
"Q7Z5K2"	132946	34301.4158488966
"Q7Z5L9"	61025	82369.5179876833
"Q7Z6Z7"	481891	85631.8145004832
"Q7Z739"	63861	25326.4801958557
"Q7Z7H5"	25943	71103.422353624
"Q7Z7L1"	102836	52101.7265364479
"Q86SF2"	75389	42885.8131642291
"Q86SX6"	16628	87243.9610202151
"Q86TG7"	80173	48560.1717137431
"Q86TI2"	98263	30935.1463783761
"Q86TU7"	67257	30459.0843732371
"Q86U42"	32749	53755.4646849778
"Q86U44"	64474	32344.1836664698
"Q86U90"	29328	57611.7590358077
"Q86UE4"	63837	65738.0843665658
"Q86UK7"	98637	39633.6967165041
"Q86UP2"	156275	69376.2138951008
"Q86UV5"	119032	36975.5311606363
"Q86UY8"	63420	46811.8694012165
"Q86V21"	75144	37341.1502566496
"Q86V81"	26888	139126.02116646
"Q86VN1"	43817	38253.6120470043
"Q86VP6"	136376	237846.049020114
"Q86VR2"	51396	49359.7086736847
"Q86VS8"	83126	22732.4428949153
"Q86W56"	111110	25939.4793900092
"Q86WA8"	94617	15528.3602321006
"Q86WB0"	55262	35758.7876897525
"Q86WJ1"	100984	45452.7942514953
"Q86WQ0"	15876	20403.9574503797
"Q86WR0"	24479	57935.7750545564
"Q86X29"	71439	45911.9473263941
"Q86X55"	65854	60005.8292375916
"Q86XI2"	130960	32964.2564045049
"Q86XL3"	104114	23174.6039662326
"Q86XP3"	102975	94438.0062985517
"Q86Y56"	93521	72803.7105675142
"Q86Y82"	31642	58798.7766581306
"Q86YB8"	53543	49588.6572988751
"Q86YP4"	68063	22074.5313494045
"Q86YR5"	74510	59193.7782256385
"Q8IU81"	61688	37848.5776381522
"Q8IUI8"	49766	41048.4845612651
"Q8IUR0"	20783	32394.9433280678
"Q8IV08"	54705	155720.030601102
"Q8IVD9"	40822	58123.502511283
"Q8IWA4"	84100	26338.2334733676
"Q8IWD4"	30541	16184.1876341022
"Q8IWJ2"	195910	14823.30441913
"Q8IWS0"	41290	35633.2619553546
"Q8IWX8"	103702	50175.4678186438
"Q8IWZ3"	269458	22072.0693178446
"Q8IWZ8"	72471	26361.6417897706
"Q8IX12"	132821	80150.0448841299
"Q8IX18"	88560	30786.4215173934
"Q8IX90"	46359	25483.8821179177
"Q8IXB1"	91080	32350.5303523195
"Q8IXH7"	66247	62483.9828055903
"Q8IXI1"	68118	63981.0582215161
"Q8IXI2"	70784	50999.9478230797
"Q8IXJ6"	43182	37275.180013717
"Q8IXM2"	17900	38156.1791593042
"Q8IXM3"	15383	63016.9422542118
"Q8IXQ4"	38142	32249.5594018487
"Q8IY67"	63877	69078.7068395305
"Q8IY95"	30922	21911.3086244884
"Q8IYB3"	102335	129408.699972452
"Q8IYB8"	87991	43052.5202508144
"Q8IYD1"	68883	61577.6984321292
"Q8IYI6"	81799	25766.053259203
"Q8IYS1"	47776	73402.531581958
"Q8IYS2"	69157	41648.7992335909
"Q8IZ21"	78211	30038.4614340222
"Q8IZ69"	68726	39243.3738412611
"Q8IZ81"	34961	57100.0624269531
"Q8IZ83"	85127	54917.1280868369
"Q8IZP0"	55081	47292.8356339422
"Q8N0U8"	19836	63030.5801593595
"Q8N0X4"	37359	29890.6037840526
"Q8N0X7"	72833	55000.7823300221
"Q8N122"	149038	22818.5223451656
"Q8N163"	102902	137942.558847131
"Q8N183"	19856	105860.495376975
"Q8N1F7"	93488	84930.5688675222
"Q8N1G2"	95321	57623.8722023326
"Q8N1G4"	63473	147932.289602716
"Q8N2F6"	37540	43488.8668603903
"Q8N2K0"	45097	37142.29922391
"Q8N335"	38419	40367.1928745828
"Q8N3C0"	251460	31776.9022029017
"Q8N3F8"	93441	34774.0638736943
"Q8N4H5"	6035	29219.1843531741
"Q8N4J0"	47186	20458.7939767574
"Q8N4Q1"	15996	45119.2225910029
"Q8N543"	63246	31481.9153408471
"Q8N5K1"	15278	118806.968072237
"Q8N5N7"	18325	67173.0028080721
"Q8N684"	52050	58931.2275070206
"Q8N6H7"	56720	56841.5013389858
"Q8N6R0"	78768	32408.4739065693
"Q8N6T3"	44668	63624.6428236995
"Q8N766"	111759	103309.008908072
"Q8N7H5"	59976	61021.547144093
"Q8N806"	47999	55062.119533659
"Q8N8N7"	38499	42089.5482740933
"Q8N8S7"	66510	135726.330117469
"Q8N983"	23431	55805.2682931247
"Q8N9N7"	26754	28231.4300887301
"Q8N9N8"	19053	19104.0594808976
"Q8NB37"	23298	37449.0019290858
"Q8NBF2"	79444	66965.978896412
"Q8NBJ4"	45333	85434.7752480001
"Q8NBJ5"	71636	100931.126803475
"Q8NBJ7"	33843	57531.9887728415
"Q8NBM8"	54646	39136.9223267492
"Q8NBN7"	35932	51207.6206807542
"Q8NBS9"	47629	182601.786308469
"Q8NBT2"	22478	50818.820479168
"Q8NBU5"	40744	91095.9003017108
"Q8NBX0"	47151	64281.9269454348
"Q8NC51"	44965	278870.564371564
"Q8NC54"	29235	40922.1458789031
"Q8NC56"	56975	47835.6435257216
"Q8NCM8"	492622	29156.6010497087
"Q8NCW5"	31675	157669.996547126
"Q8ND24"	77667	25253.7021529847
"Q8ND56"	50530	57423.8754578327
"Q8NE62"	65358	72148.0037694001
"Q8NE71"	95926	71470.4635535638
"Q8NE86"	39867	38605.2945150625
"Q8NEB9"	101549	26062.6787594858
"Q8NEW0"	41626	44750.8247218873
"Q8NEZ5"	44508	46071.4574192638
"Q8NF37"	59151	65607.7491236207
"Q8NFC6"	330466	18128.3174970323
"Q8NFF5"	65266	43246.3116285941
"Q8NFH3"	42151	71261.36983513
"Q8NFH5"	34774	28277.6375420646
"Q8NFQ8"	51263	62775.4871359941
"Q8NFV4"	34690	18407.5228859433
"Q8NFW8"	48379	29384.8615015878
"Q8NHH9"	66229	43649.2080048252
"Q8NHP8"	65472	70207.2412931548
"Q8NHV4"	71966	27017.8639048628
"Q8NI22"	16390	38060.0357745554
"Q8NI27"	182775	40083.1391950079
"Q8NI60"	71950	70710.19178023
"Q8TAA5"	25431	40357.5046915249
"Q8TAE8"	25384	37867.6578526495
"Q8TAQ2"	132879	38394.0430964618
"Q8TAT6"	68120	78310.865106905
"Q8TB61"	47515	69982.1756285316
"Q8TBA6"	83024	33670.565216418
"Q8TBC4"	51852	70531.4176671231
"Q8TBQ9"	8060	75375.4239980765
"Q8TBX8"	47300	33181.5078214776
"Q8TC07"	79491	58290.895251388
"Q8TC12"	35386	71985.5943562181
"Q8TCG1"	102185	38313.1718413145
"Q8TCJ2"	93674	60875.4464518872
"Q8TCS8"	85951	105142.455237758
"Q8TCT8"	58143	23716.9025313104
"Q8TCT9"	41488	293678.230711041
"Q8TD16"	93533	40391.7967122461
"Q8TD19"	107168	32523.3934914869
"Q8TD30"	57904	41789.1680286131
"Q8TDD1"	98595	55095.0042943085
"Q8TDN6"	41401	17261.7464952942
"Q8TDP1"	17840	74445.2271048552
"Q8TEA8"	23424	36355.1428513962
"Q8TED1"	23881	37336.3539811103
"Q8TEM1"	205111	78178.256035135
"Q8TEQ6"	168589	57994.8538306687
"Q8TEW0"	151423	20936.158326963
"Q8TEX9"	118715	135252.778096185
"Q8TF05"	107004	27827.9012624034
"Q8WTV0"	60878	64002.1986071265
"Q8WTW3"	108978	28113.4313839563
"Q8WU79"	46786	51789.3378717993
"Q8WU90"	48602	60203.0348101646
"Q8WUA2"	57225	50005.4426990289
"Q8WUM0"	128979	40522.8524250446
"Q8WUM4"	96023	126915.832134648
"Q8WUW1"	8745	57155.432012911
"Q8WUX9"	50911	44595.9769516596
"Q8WUY1"	23865	60588.1039851072
"Q8WVC6"	26550	51375.5258110168
"Q8WVJ2"	17676	69465.8983670325
"Q8WVM8"	72380	53471.899096929
"Q8WVV9"	60083	43511.2497391974
"Q8WVX9"	59357	49040.6944466206
"Q8WVY7"	36805	81309.8255578594
"Q8WW12"	18925	79163.1015754311
"Q8WWC4"	32545	45171.8592009576
"Q8WWH5"	37253	38777.5095341288
"Q8WWI1"	192696	23429.0658365804
"Q8WWI5"	73302	32928.762872329
"Q8WWM7"	113374	90435.3872482966
"Q8WWV3"	43590	38652.6149967651
"Q8WWY3"	55456	33541.1638351649
"Q8WX92"	65697	55316.4311820439
"Q8WX93"	150564	32089.909057871
"Q8WXA9"	59380	40074.5897127919
"Q8WXD5"	18824	51164.067124244
"Q8WXF1"	58744	93035.0074384739
"Q8WXI9"	65261	39103.3751309429
"Q8WXX5"	29910	80498.1883959596
"Q8WY22"	27836	72985.460801308
"Q8WYA6"	65173	55699.9301862774
"Q8WZ82"	24418	35382.9071186057
"Q8WZA0"	21495	64258.0842599938
"Q8WZA9"	62717	75236.2464743205
"Q92499"	82432	188005.44136227
"Q92506"	26974	35921.0811288651
"Q92520"	24680	108610.805662649
"Q92522"	22487	97870.181133148
"Q92530"	29817	134715.641307139
"Q92538"	206446	55761.3017935708
"Q92541"	80313	65222.0509910961
"Q92542"	78411	81236.1468744443
"Q92544"	74519	91676.1765016794
"Q92552"	47611	76794.975906569
"Q92572"	21732	60611.5201894104
"Q92575"	56778	47023.6037084975
"Q92597"	42835	124698.746741743
"Q92598"	96865	137930.661076219
"Q92599"	55756	46998.06966924
"Q92600"	33631	38810.9714599783
"Q92609"	89004	32641.5249797215
"Q92614"	233115	50777.6114107475
"Q92615"	80552	34100.4874619952
"Q92616"	292758	134027.498581673
"Q92620"	140503	21929.5779723591
"Q92621"	227922	40487.6368643923
"Q92643"	45252	24834.5376303566
"Q92665"	45318	59687.6405085953
"Q92667"	97342	61987.4598886394
"Q92688"	28788	273751.726560387
"Q92692"	57742	65468.6754745398
"Q92696"	65072	47072.6501052652
"Q92734"	43448	115978.131987742
"Q92747"	41569	53260.4816864024
"Q92769"	55364	70477.9988649645
"Q92783"	59180	47635.5081749746
"Q92797"	141148	49502.9178285038
"Q92820"	35964	95076.2861545277
"Q92823"	143890	25967.6464960207
"Q92841"	80272	114655.737713954
"Q92878"	153892	58479.6742686667
"Q92879"	52063	75850.2808604174
"Q92888"	102435	69091.5435949152
"Q92890"	34500	102493.474347217
"Q92896"	134552	34165.5145578927
"Q92900"	124345	73964.0751670475
"Q92905"	37579	58879.862627524
"Q92917"	52229	71585.6472085612
"Q92930"	23584	18964.6266577823
"Q92945"	73115	336659.224051437
"Q92947"	48127	60476.9104349431
"Q92973"	102355	187445.348779071
"Q92974"	111543	34290.8740910499
"Q92979"	26720	33964.890554416
"Q92990"	68208	44851.9564448116
"Q93008"	292280	69657.9248578145
"Q93009"	128302	60616.4668154452
"Q93034"	90955	64872.6866042055
"Q93050"	96413	31421.3739893856
"Q93052"	65746	32476.7268763111
"Q969E8"	20894	42432.7787039935
"Q969G3"	46649	53416.6053865369
"Q969H8"	18795	63211.0098653229
"Q969M3"	27989	27487.0622393527
"Q969N2"	65700	36740.5070668684
"Q969S3"	54272	25893.7397043963
"Q969T9"	28087	74424.5578344698
"Q969U7"	29396	66462.8035558192
"Q969V3"	62974	84265.2165996484
"Q969X5"	32592	56904.4100522387
"Q969Y2"	52058	38853.4712814026
"Q969Z0"	70738	62066.0489024063
"Q96A26"	17342	82730.0966200689
"Q96A33"	55874	80622.7907247645
"Q96A35"	24915	66420.9896230698
"Q96A49"	39933	102710.773322547
"Q96A65"	110498	38157.3679596571
"Q96AB3"	22337	39770.2222051686
"Q96AC1"	77861	43134.6454347286
"Q96AE4"	67560	286404.013570934
"Q96AG4"	34930	341871.582524958
"Q96AY3"	64245	145355.76332309
"Q96B26"	30040	41260.3716365043
"Q96B36"	27383	42034.6504376782
"Q96B54"	20481	47802.3107396983
"Q96BJ3"	35023	39174.3796842957
"Q96BN8"	40263	43476.2627235331
"Q96BP3"	73575	28515.7897168317
"Q96BR5"	25709	64961.902261253
"Q96C01"	15641	77116.2425783763
"Q96C19"	26697	62570.7905433117
"Q96C23"	37766	42354.1084265982
"Q96C36"	33637	97364.128496107
"Q96C86"	38609	42177.1734347892
"Q96C90"	15911	30058.5024451941
"Q96CD2"	22395	40727.713368222
"Q96CM8"	68125	30924.8094952133
"Q96CN7"	32237	111469.468872562
"Q96CP6"	80680	28984.0002451556
"Q96CS3"	52623	72494.3517859466
"Q96CT7"	25835	106963.562791024
"Q96CV9"	65921	16528.8776039613
"Q96CW1"	49655	47122.7695182491
"Q96CW5"	103571	38904.6040181033
"Q96CX2"	35701	114532.286017219
"Q96D46"	57603	113942.086791137
"Q96D53"	60069	40143.5478721322
"Q96D71"	86662	28358.1499554465
"Q96DA0"	22739	34553.415717084
"Q96DA6"	12499	77936.9467147188
"Q96DB5"	35808	48900.7207544346
"Q96DG6"	28048	92578.8557519369
"Q96DV4"	44597	70723.5305661779
"Q96E11"	29277	43130.3047380706
"Q96EB6"	81681	34571.9617503137
"Q96EH3"	26170	13973.2657698993
"Q96EK5"	71814	103903.476353555
"Q96EK6"	20749	47882.3663714659
"Q96EK9"	38616	25581.946496623
"Q96EL3"	12107	102093.455196841
"Q96EP5"	43383	87657.1130905412
"Q96EQ0"	33429	40924.4583413529
"Q96ER3"	53558	38664.4415246067
"Q96ER9"	45811	31949.2916457844
"Q96EY1"	52489	80884.4131264059
"Q96EY4"	23864	42370.8354614903
"Q96EY7"	78550	88761.90121174
"Q96EY8"	27388	53895.4701721232
"Q96F07"	148399	98381.4560176605
"Q96F86"	56078	64753.8707497009
"Q96FV2"	46597	32190.2307765868
"Q96FW1"	31284	133206.241184758
"Q96FZ2"	40575	24626.0223838895
"Q96FZ7"	23485	31422.6580317481
"Q96G03"	68283	91469.0027419941
"Q96G23"	44876	91738.9918044467
"Q96G46"	72594	30713.0318892543
"Q96GA3"	54855	57922.6804991099
"Q96GA7"	34674	34875.9668856923
"Q96GC5"	23935	52030.6193278229
"Q96GD0"	31698	79331.2147784366
"Q96GD4"	39311	13218.5576120141
"Q96GG9"	30124	43274.7757349026
"Q96GK7"	34596	30718.6464933879
"Q96GM8"	56548	23291.6102630188
"Q96GX9"	27125	59764.9293154956
"Q96H20"	28864	42562.2495984918
"Q96HC4"	63945	68880.086061399
"Q96HE7"	54393	154739.363035473
"Q96HR9"	20733	28731.870735038
"Q96HS1"	32004	71342.2235115238
"Q96HY6"	35611	82689.1399713357
"Q96HY7"	103077	23176.0528975592
"Q96I15"	48149	27985.3772308422
"Q96I24"	61640	105307.514186284
"Q96I25"	44962	54088.1305745734
"Q96I99"	46511	65193.8600895097
"Q96IJ6"	46291	38788.5335514278
"Q96IU4"	22346	33559.5129422346
"Q96IX5"	6458	131420.394758754
"Q96IZ0"	36568	30423.9763035869
"Q96J01"	38772	52690.1257378408
"Q96JB5"	56921	67917.9069546759
"Q96JG6"	111174	14324.274249748
"Q96JJ7"	51872	89102.9149454819
"Q96K17"	17271	136174.115092601
"Q96K76"	157311	20065.5169879898
"Q96KA5"	62229	44813.1132448592
"Q96KB5"	36085	91930.689807035
"Q96KC8"	63883	36806.856181666
"Q96KP1"	104066	46803.0997991634
"Q96KP4"	52878	121964.833520386
"Q96KR1"	117012	27620.0842919885
"Q96L92"	61265	65058.1236336051
"Q96M27"	46701	63046.8142339851
"Q96MW1"	25248	74085.0122668593
"Q96MW5"	68424	26359.347221599
"Q96N66"	52765	28996.815824169
"Q96N67"	242561	25912.6862893394
"Q96NB2"	36232	35499.2012976104
"Q96P16"	35720	64806.2246036093
"Q96P47"	95044	29553.2387210599
"Q96P70"	115963	79926.9237430941
"Q96PK6"	69492	17465.6628840886
"Q96PU8"	37671	57663.9057587951
"Q96PZ0"	75035	50908.0907911006
"Q96Q11"	50128	51734.9178487985
"Q96QC0"	99058	25598.1986683658
"Q96QK1"	91707	95370.6850249474
"Q96QR8"	33241	15903.633456355
"Q96QU8"	128883	18586.3152540944
"Q96RP9"	83471	66065.7058252875
"Q96RQ3"	80473	30477.7154656316
"Q96RS6"	66756	145603.88715502
"Q96S44"	28160	51096.5035478288
"Q96S52"	61656	51443.1196371814
"Q96S55"	72133	66134.5295076649
"Q96S59"	77847	39157.5158277515
"Q96S66"	62023	55894.5223149455
"Q96SB4"	74325	43599.2322488997
"Q96ST2"	91955	59282.3014176109
"Q96ST3"	145175	44118.3632696716
"Q96SU4"	83185	33215.8471821159
"Q96SZ5"	29751	46928.3701917483
"Q96T17"	81965	24918.8285808362
"Q96T51"	79818	19580.4171542838
"Q96T76"	113290	54139.0123137656
"Q96T88"	89814	40239.2344116319
"Q96TA1"	84138	42458.2296305194
"Q96TA2"	86455	68143.7679044088
"Q96TC7"	52118	54013.9299254892
"Q99417"	11967	109845.811082696
"Q99426"	27326	172442.01812655
"Q99436"	29965	200337.249847798
"Q99439"	33697	50166.9364488316
"Q99442"	45862	55450.7584347357
"Q99459"	92251	46328.2001307494
"Q99460"	105836	141587.286984407
"Q99470"	23026	31885.9123772939
"Q99471"	17328	148519.452510631
"Q99497"	19891	587483.481166628
"Q99523"	92068	50827.131430562
"Q99536"	41920	189093.203236343
"Q99538"	49411	54661.7382430032
"Q99543"	71996	67982.1989502063
"Q99567"	83542	53353.3104098893
"Q99575"	114709	27565.7789478559
"Q99576"	14810	45324.8120818712
"Q99584"	11471	59375.0945982933
"Q99598"	33112	71579.1642925778
"Q99614"	33526	74903.9250152884
"Q99615"	56441	120031.522200307
"Q99622"	13178	32384.7939221852
"Q99623"	33296	399740.142864171
"Q99627"	23226	121127.141364808
"Q99653"	22456	58773.4073272887
"Q99661"	81313	41335.4473852276
"Q99700"	140283	40499.4412358456
"Q99707"	140527	36720.9954058049
"Q99714"	26923	273714.562410109
"Q99729"	36225	111040.320726451
"Q99733"	42823	116736.515347142
"Q99747"	34746	66023.3141236491
"Q99757"	18383	48334.8966444438
"Q99797"	80641	56161.266041689
"Q99798"	85425	118036.921894462
"Q99805"	75776	112235.950229774
"Q99807"	24277	36331.306893801
"Q99808"	50219	57596.9526817215
"Q99816"	43944	63369.2043599475
"Q99829"	59059	116210.259546325
"Q99832"	59367	259502.555055012
"Q99848"	34852	39088.8540899267
"Q99873"	41516	130028.753390389
"Q99943"	31717	55623.8603435556
"Q99961"	41490	85394.4822595434
"Q99986"	45476	87754.5144848296
"Q9BPU6"	61421	62113.9018610246
"Q9BPW8"	33310	100049.599977416
"Q9BPX3"	114334	63626.9072482884
"Q9BPX5"	16941	73079.7897302765
"Q9BQ48"	10165	29795.3677965961
"Q9BQ52"	92219	89763.3597875278
"Q9BQ61"	18419	45879.3559564459
"Q9BQ69"	35505	44571.762719675
"Q9BQ95"	49148	36191.3979538109
"Q9BQA1"	36724	137347.408467259
"Q9BQB6"	18235	45322.5914734992
"Q9BQC3"	52083	36609.0758495826
"Q9BQE3"	49895	183564.516297451
"Q9BQE5"	37092	28720.1172860067
"Q9BQG0"	148855	69154.4613181152
"Q9BQI0"	17068	36180.8758996699
"Q9BQP7"	39421	92965.7229885141
"Q9BR76"	54235	62669.5922163305
"Q9BRA2"	13941	115845.295566404
"Q9BRG1"	20748	87589.3054818375
"Q9BRJ2"	35351	55699.2481288157
"Q9BRJ6"	22083	34522.0845536789
"Q9BRK5"	41807	47033.4510817092
"Q9BRP1"	39417	60739.7509596876
"Q9BRP4"	42190	30963.9962592062
"Q9BRP8"	22656	32657.7547850368
"Q9BRQ6"	26458	20198.8168131534
"Q9BRR6"	54089	45156.6638070843
"Q9BRS2"	65583	11403.223723017
"Q9BRT2"	14875	66693.6258087676
"Q9BRT3"	12403	53726.7543385061
"Q9BRT6"	15225	33189.46575751
"Q9BRT9"	26047	41817.830716469
"Q9BRX2"	43359	34159.717959011
"Q9BRX5"	24535	50348.8143979348
"Q9BRX8"	25764	46230.1978355873
"Q9BS26"	46971	129344.750207714
"Q9BS40"	25750	34537.3392922323
"Q9BSD7"	20713	94084.8509676154
"Q9BSH4"	32477	64159.7766441792
"Q9BSJ2"	102534	52087.8934239498
"Q9BSJ8"	122856	145619.724102664
"Q9BSV6"	33652	35750.0452167354
"Q9BT09"	30748	23090.9879808508
"Q9BT22"	52518	30542.6723043666
"Q9BT73"	13104	37715.7052390695
"Q9BT78"	46269	102523.457483238
"Q9BTA9"	70724	36543.9954504808
"Q9BTC0"	243873	39269.6260119891
"Q9BTD8"	50414	67727.0948231115
"Q9BTE1"	20127	28271.6121830738
"Q9BTE3"	72980	88226.3896505225
"Q9BTE6"	45480	48582.1363305787
"Q9BTE7"	27508	68970.6527070442
"Q9BTM9"	11380	33373.5436715323
"Q9BTT0"	30692	205311.871981392
"Q9BTU6"	54022	39158.3002570783
"Q9BTV4"	44876	107201.675961296
"Q9BTV5"	55820	31338.5091988499
"Q9BTW9"	132600	72121.3816564907
"Q9BTX1"	76305	44289.0006772334
"Q9BTY2"	54067	134422.714427347
"Q9BU23"	79698	70884.7578782524
"Q9BU61"	20350	91682.6127076462
"Q9BU89"	32904	32857.9404551248
"Q9BUF5"	49857	275019.186202267
"Q9BUH6"	21640	46000.4685031472
"Q9BUI4"	60612	34778.5862753738
"Q9BUJ2"	95739	93834.3345001953
"Q9BUL8"	24702	82438.4146541814
"Q9BUN8"	28801	44124.1613838016
"Q9BUP3"	27049	52843.4343442831
"Q9BUQ8"	95583	116854.208574992
"Q9BUR5"	22285	81140.1193060171
"Q9BV20"	39150	85090.3144118682
"Q9BV38"	47405	51086.7982957353
"Q9BV40"	11438	69232.9983346148
"Q9BV44"	57003	52645.8423791786
"Q9BV57"	21498	69096.2397323501
"Q9BV79"	40462	40957.2126576471
"Q9BV81"	12017	77974.2511887774
"Q9BV86"	25387	59013.5743596321
"Q9BVC5"	25858	40856.4117082703
"Q9BVC6"	26210	134026.535836636
"Q9BVG4"	26057	79753.6905378503
"Q9BVG8"	92775	31512.4893383509
"Q9BVI4"	58468	41379.7761775928
"Q9BVK6"	27277	123504.156016378
"Q9BVL2"	60897	50844.8125117069
"Q9BVM2"	23240	35725.2363706917
"Q9BVP2"	61993	81773.0132722563
"Q9BVT8"	26261	55214.8307584506
"Q9BVV7"	28202	26514.0532874497
"Q9BW19"	73748	34952.1115024277
"Q9BW27"	75019	25908.0656781256
"Q9BW83"	20480	58653.8459095392
"Q9BW85"	37086	21314.209967844
"Q9BW91"	39125	28582.0375245655
"Q9BW92"	81036	71110.8510139837
"Q9BWD1"	41351	182939.087448903
"Q9BWF3"	40314	63352.0309920065
"Q9BWH2"	20676	48616.695617451
"Q9BWJ5"	10135	44640.6664476339
"Q9BWS9"	44941	39561.8484367011
"Q9BWU0"	88814	29867.0244510898
"Q9BX68"	17162	62892.8484239454
"Q9BXB4"	83643	15247.6654827649
